symbol,name,rows,cols,minTemp,maxTemp,maxWeight,maxItemWidth,maxItemHeight,maxItemDepth,comment
R-001,Regał Magazynowy A,5,10,10,30,500,120,80,100,Sekcja główna
R-002,Chłodnia B,4,6,-5,5,300,60,40,60,Przechowywanie żywności
R-SAFE,Sejf,2,2,15,25,1000,30,30,30,Dostęp tylko dla upoważnionych
R-OUT,Regał Zewnętrzny,3,8,-20,40,800,200,100,100,
R-ELEC,Elektronika Drobna,10,20,18,24,50,15,10,20,Antystatyczny
R-003,Regał Magazynowy B,6,12,5,30,600,140,90,110,Strefa szybkiej rotacji
R-004,Regał Wysokiego Składowania,12,4,10,28,1000,120,120,120,Wymagany wózek widłowy
R-005,Strefa Delikatna,4,5,18,22,100,50,40,40,Towar kruchy
R-006,Chemia Techniczna,5,7,8,20,400,80,100,80,Wentylacja wymagana
R-007,Tekstylia,8,10,15,25,200,100,60,80,Suche środowisko
R-008,Opony i Guma,3,6,5,35,700,150,150,150,Duże gabaryty
R-009,Artykuły Papiernicze,6,9,12,26,300,90,60,70,Chronić przed wilgocią
R-010,Strefa Zwrotów,4,8,10,30,400,120,100,100,Towar niezweryfikowany
R-011,Małe AGD,5,10,16,24,150,60,60,60,Oryginalne opakowania
R-012,Części Zamienne,7,14,10,28,250,40,40,40,Drobne elementy
R-013,Narzędzia Ciężkie,4,6,5,30,900,100,120,100,Metalowe regały wzmocnione
R-014,Strefa Promocyjna,3,12,15,25,200,120,80,100,Częsta zmiana asortymentu
R-015,Archiwum Dokumentów,10,15,18,22,80,35,30,40,Dostęp ograniczony
R-016,Plastiki i Komponenty,6,11,10,30,350,70,70,70,Pojemniki zbiorcze
